ID         Site                     App    Workdir            State              Tags                                                                         
33961872   2x2_production_polaris   flow   workdir/16_flow    JOB_FINISHED       {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961873   2x2_production_polaris   flow   workdir/17_flow    RESTART_READY      {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961874   2x2_production_polaris   flow   workdir/18_flow    RESTART_READY      {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961875   2x2_production_polaris   flow   workdir/19_flow    JOB_FINISHED       {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961876   2x2_production_polaris   flow   workdir/20_flow    AWAITING_PARENTS   {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961877   2x2_production_polaris   flow   workdir/21_flow    JOB_FINISHED       {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961878   2x2_production_polaris   flow   workdir/22_flow    RESTART_READY      {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961879   2x2_production_polaris   flow   workdir/23_flow    JOB_FINISHED       {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961880   2x2_production_polaris   flow   workdir/24_flow    JOB_FINISHED       {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961881   2x2_production_polaris   flow   workdir/25_flow    RESTART_READY      {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961882   2x2_production_polaris   flow   workdir/26_flow    JOB_FINISHED       {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961883   2x2_production_polaris   flow   workdir/27_flow    RESTART_READY      {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961884   2x2_production_polaris   flow   workdir/28_flow    RESTART_READY      {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961885   2x2_production_polaris   flow   workdir/29_flow    JOB_FINISHED       {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961886   2x2_production_polaris   flow   workdir/30_flow    RESTART_READY      {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961887   2x2_production_polaris   flow   workdir/31_flow    RESTART_READY      {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961888   2x2_production_polaris   flow   workdir/32_flow    FAILED             {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961889   2x2_production_polaris   flow   workdir/33_flow    RESTART_READY      {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961890   2x2_production_polaris   flow   workdir/34_flow    RESTART_READY      {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961891   2x2_production_polaris   flow   workdir/35_flow    RESTART_READY      {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961892   2x2_production_polaris   flow   workdir/36_flow    RESTART_READY      {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961893   2x2_production_polaris   flow   workdir/37_flow    RESTART_READY      {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961894   2x2_production_polaris   flow   workdir/38_flow    JOB_FINISHED       {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961895   2x2_production_polaris   flow   workdir/39_flow    JOB_FINISHED       {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961896   2x2_production_polaris   flow   workdir/40_flow    JOB_FINISHED       {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961897   2x2_production_polaris   flow   workdir/41_flow    JOB_FINISHED       {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961898   2x2_production_polaris   flow   workdir/42_flow    AWAITING_PARENTS   {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961899   2x2_production_polaris   flow   workdir/43_flow    JOB_FINISHED       {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961900   2x2_production_polaris   flow   workdir/44_flow    JOB_FINISHED       {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961901   2x2_production_polaris   flow   workdir/45_flow    JOB_FINISHED       {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961902   2x2_production_polaris   flow   workdir/46_flow    RESTART_READY      {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961903   2x2_production_polaris   flow   workdir/47_flow    RESTART_READY      {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961904   2x2_production_polaris   flow   workdir/48_flow    RESTART_READY      {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961905   2x2_production_polaris   flow   workdir/49_flow    JOB_FINISHED       {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961906   2x2_production_polaris   flow   workdir/50_flow    RESTART_READY      {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
33961907   2x2_production_polaris   flow   workdir/51_flow    RESTART_READY      {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_flow_v0'}   
