ID         Site                     App     Workdir              State           Tags                                                                                               
33961616   2x2_production_polaris   larnd   workdir/0_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961617   2x2_production_polaris   larnd   workdir/1_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961618   2x2_production_polaris   larnd   workdir/2_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961619   2x2_production_polaris   larnd   workdir/3_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961620   2x2_production_polaris   larnd   workdir/4_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961621   2x2_production_polaris   larnd   workdir/5_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961622   2x2_production_polaris   larnd   workdir/6_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961623   2x2_production_polaris   larnd   workdir/7_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961624   2x2_production_polaris   larnd   workdir/8_larnd      JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961625   2x2_production_polaris   larnd   workdir/9_larnd      RESTART_READY   {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961626   2x2_production_polaris   larnd   workdir/10_larnd     JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961627   2x2_production_polaris   larnd   workdir/11_larnd     JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961628   2x2_production_polaris   larnd   workdir/12_larnd     JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961629   2x2_production_polaris   larnd   workdir/13_larnd     RESTART_READY   {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961630   2x2_production_polaris   larnd   workdir/14_larnd     JOB_FINISHED    {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961631   2x2_production_polaris   larnd   workdir/15_larnd     RESTART_READY   {'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                                       
33961744   2x2_production_polaris   larnd   workdir/16_larnd     JOB_FINISHED    {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961745   2x2_production_polaris   larnd   workdir/17_larnd     JOB_FINISHED    {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961746   2x2_production_polaris   larnd   workdir/18_larnd     JOB_FINISHED    {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961747   2x2_production_polaris   larnd   workdir/19_larnd     JOB_FINISHED    {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961748   2x2_production_polaris   larnd   workdir/20_larnd     RESTART_READY   {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961749   2x2_production_polaris   larnd   workdir/21_larnd     JOB_FINISHED    {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961750   2x2_production_polaris   larnd   workdir/22_larnd     JOB_FINISHED    {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961751   2x2_production_polaris   larnd   workdir/23_larnd     JOB_FINISHED    {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961752   2x2_production_polaris   larnd   workdir/24_larnd     JOB_FINISHED    {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961753   2x2_production_polaris   larnd   workdir/25_larnd     JOB_FINISHED    {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961754   2x2_production_polaris   larnd   workdir/26_larnd     JOB_FINISHED    {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961755   2x2_production_polaris   larnd   workdir/27_larnd     JOB_FINISHED    {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961756   2x2_production_polaris   larnd   workdir/28_larnd     JOB_FINISHED    {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961757   2x2_production_polaris   larnd   workdir/29_larnd     JOB_FINISHED    {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961758   2x2_production_polaris   larnd   workdir/30_larnd     JOB_FINISHED    {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961759   2x2_production_polaris   larnd   workdir/31_larnd     JOB_FINISHED    {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
