ID         Site                     App        Workdir                    State              Tags                                                                                                         
33977490   2x2_production_polaris   analysis   workdir/v0_1_analysis      JOB_FINISHED       {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '1'}       
33979535   2x2_production_polaris   analysis   workdir/v0_2_analysis      JOB_FINISHED       {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979536   2x2_production_polaris   analysis   workdir/v0_3_analysis      JOB_FINISHED       {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979537   2x2_production_polaris   analysis   workdir/v0_4_analysis      JOB_FINISHED       {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979538   2x2_production_polaris   analysis   workdir/v0_5_analysis      JOB_FINISHED       {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979539   2x2_production_polaris   analysis   workdir/v0_6_analysis      JOB_FINISHED       {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979540   2x2_production_polaris   analysis   workdir/v0_7_analysis      JOB_FINISHED       {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979541   2x2_production_polaris   analysis   workdir/v0_8_analysis      JOB_FINISHED       {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979542   2x2_production_polaris   analysis   workdir/v0_9_analysis      AWAITING_PARENTS   {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}       
33979543   2x2_production_polaris   analysis   workdir/v0_10_analysis     JOB_FINISHED       {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979544   2x2_production_polaris   analysis   workdir/v0_11_analysis     JOB_FINISHED       {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
