ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990571   2x2_production_polaris   analysis   workdir/v2_1_analysis      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990572   2x2_production_polaris   analysis   workdir/v2_2_analysis      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990573   2x2_production_polaris   analysis   workdir/v2_3_analysis      JOB_FINISHED   {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990574   2x2_production_polaris   analysis   workdir/v2_4_analysis      JOB_FINISHED   {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990575   2x2_production_polaris   analysis   workdir/v2_5_analysis      JOB_FINISHED   {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990576   2x2_production_polaris   analysis   workdir/v2_6_analysis      JOB_FINISHED   {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990577   2x2_production_polaris   analysis   workdir/v2_7_analysis      JOB_FINISHED   {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990578   2x2_production_polaris   analysis   workdir/v2_8_analysis      JOB_FINISHED   {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990579   2x2_production_polaris   analysis   workdir/v2_9_analysis      FAILED         {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}       
33990580   2x2_production_polaris   analysis   workdir/v2_10_analysis     JOB_FINISHED   {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990581   2x2_production_polaris   analysis   workdir/v2_11_analysis     JOB_FINISHED   {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990582   2x2_production_polaris   analysis   workdir/v2_12_analysis     JOB_FINISHED   {'index': '12', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990583   2x2_production_polaris   analysis   workdir/v2_13_analysis     FAILED         {'index': '13', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990584   2x2_production_polaris   analysis   workdir/v2_14_analysis     JOB_FINISHED   {'index': '14', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990585   2x2_production_polaris   analysis   workdir/v2_15_analysis     FAILED         {'index': '15', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990586   2x2_production_polaris   analysis   workdir/v2_16_analysis     JOB_FINISHED   {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990587   2x2_production_polaris   analysis   workdir/v2_17_analysis     JOB_FINISHED   {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990588   2x2_production_polaris   analysis   workdir/v2_18_analysis     JOB_FINISHED   {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990589   2x2_production_polaris   analysis   workdir/v2_19_analysis     JOB_FINISHED   {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990590   2x2_production_polaris   analysis   workdir/v2_20_analysis     FAILED         {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990591   2x2_production_polaris   analysis   workdir/v2_21_analysis     JOB_FINISHED   {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990592   2x2_production_polaris   analysis   workdir/v2_22_analysis     JOB_FINISHED   {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990593   2x2_production_polaris   analysis   workdir/v2_23_analysis     JOB_FINISHED   {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990594   2x2_production_polaris   analysis   workdir/v2_24_analysis     JOB_FINISHED   {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990595   2x2_production_polaris   analysis   workdir/v2_25_analysis     JOB_FINISHED   {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
