ID         Site                     App         Workdir                     State          Tags                                                                                                          
33977489   2x2_production_polaris   inference   workdir/v0_1_inference      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '1'}       
33978513   2x2_production_polaris   inference   workdir/v0_2_inference      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978514   2x2_production_polaris   inference   workdir/v0_3_inference      JOB_FINISHED   {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978515   2x2_production_polaris   inference   workdir/v0_4_inference      JOB_FINISHED   {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978516   2x2_production_polaris   inference   workdir/v0_5_inference      JOB_FINISHED   {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978517   2x2_production_polaris   inference   workdir/v0_6_inference      JOB_FINISHED   {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978518   2x2_production_polaris   inference   workdir/v0_7_inference      JOB_FINISHED   {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978519   2x2_production_polaris   inference   workdir/v0_8_inference      JOB_FINISHED   {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978520   2x2_production_polaris   inference   workdir/v0_9_inference      FAILED         {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}       
33978521   2x2_production_polaris   inference   workdir/v0_10_inference     JOB_FINISHED   {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978522   2x2_production_polaris   inference   workdir/v0_11_inference     JOB_FINISHED   {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
