ID         Site                     App           Workdir                       State              Tags                                                                                                            
33977488   2x2_production_polaris   flow2supera   workdir/v0_1_flow2supera      JOB_FINISHED       {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '1'}       
33977491   2x2_production_polaris   flow2supera   workdir/v0_2_flow2supera      JOB_FINISHED       {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977492   2x2_production_polaris   flow2supera   workdir/v0_3_flow2supera      JOB_FINISHED       {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977493   2x2_production_polaris   flow2supera   workdir/v0_4_flow2supera      JOB_FINISHED       {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977494   2x2_production_polaris   flow2supera   workdir/v0_5_flow2supera      JOB_FINISHED       {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977495   2x2_production_polaris   flow2supera   workdir/v0_6_flow2supera      JOB_FINISHED       {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977496   2x2_production_polaris   flow2supera   workdir/v0_7_flow2supera      JOB_FINISHED       {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977497   2x2_production_polaris   flow2supera   workdir/v0_8_flow2supera      JOB_FINISHED       {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977498   2x2_production_polaris   flow2supera   workdir/v0_9_flow2supera      AWAITING_PARENTS   {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}       
33977499   2x2_production_polaris   flow2supera   workdir/v0_10_flow2supera     JOB_FINISHED       {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977500   2x2_production_polaris   flow2supera   workdir/v0_11_flow2supera     JOB_FINISHED       {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977501   2x2_production_polaris   flow2supera   workdir/v0_12_flow2supera     JOB_FINISHED       {'index': '12', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977502   2x2_production_polaris   flow2supera   workdir/v0_13_flow2supera     AWAITING_PARENTS   {'index': '13', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977503   2x2_production_polaris   flow2supera   workdir/v0_14_flow2supera     JOB_FINISHED       {'index': '14', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977504   2x2_production_polaris   flow2supera   workdir/v0_15_flow2supera     AWAITING_PARENTS   {'index': '15', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977505   2x2_production_polaris   flow2supera   workdir/v0_16_flow2supera     JOB_FINISHED       {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977506   2x2_production_polaris   flow2supera   workdir/v0_17_flow2supera     JOB_FINISHED       {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977507   2x2_production_polaris   flow2supera   workdir/v0_18_flow2supera     JOB_FINISHED       {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977508   2x2_production_polaris   flow2supera   workdir/v0_19_flow2supera     JOB_FINISHED       {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977509   2x2_production_polaris   flow2supera   workdir/v0_20_flow2supera     AWAITING_PARENTS   {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977510   2x2_production_polaris   flow2supera   workdir/v0_21_flow2supera     JOB_FINISHED       {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977511   2x2_production_polaris   flow2supera   workdir/v0_22_flow2supera     JOB_FINISHED       {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977512   2x2_production_polaris   flow2supera   workdir/v0_23_flow2supera     JOB_FINISHED       {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977513   2x2_production_polaris   flow2supera   workdir/v0_24_flow2supera     JOB_FINISHED       {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977514   2x2_production_polaris   flow2supera   workdir/v0_25_flow2supera     JOB_FINISHED       {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977515   2x2_production_polaris   flow2supera   workdir/v0_26_flow2supera     JOB_FINISHED       {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977516   2x2_production_polaris   flow2supera   workdir/v0_27_flow2supera     JOB_FINISHED       {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977517   2x2_production_polaris   flow2supera   workdir/v0_28_flow2supera     JOB_FINISHED       {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977518   2x2_production_polaris   flow2supera   workdir/v0_29_flow2supera     JOB_FINISHED       {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977519   2x2_production_polaris   flow2supera   workdir/v0_30_flow2supera     JOB_FINISHED       {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977520   2x2_production_polaris   flow2supera   workdir/v0_31_flow2supera     JOB_FINISHED       {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977521   2x2_production_polaris   flow2supera   workdir/v0_32_flow2supera     JOB_FINISHED       {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977522   2x2_production_polaris   flow2supera   workdir/v0_33_flow2supera     JOB_FINISHED       {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977523   2x2_production_polaris   flow2supera   workdir/v0_34_flow2supera     JOB_FINISHED       {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
