ID         Site                     App           Workdir                       State          Tags                                                                                                               
33989547   2x2_production_polaris   analysis_v1   workdir/v3_0_analysis_v1      FAILED         {'index': '0', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989548   2x2_production_polaris   analysis_v1   workdir/v3_1_analysis_v1      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989549   2x2_production_polaris   analysis_v1   workdir/v3_2_analysis_v1      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989550   2x2_production_polaris   analysis_v1   workdir/v3_3_analysis_v1      JOB_FINISHED   {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989551   2x2_production_polaris   analysis_v1   workdir/v3_4_analysis_v1      JOB_FINISHED   {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989552   2x2_production_polaris   analysis_v1   workdir/v3_5_analysis_v1      JOB_FINISHED   {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989553   2x2_production_polaris   analysis_v1   workdir/v3_6_analysis_v1      JOB_FINISHED   {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989554   2x2_production_polaris   analysis_v1   workdir/v3_7_analysis_v1      JOB_FINISHED   {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989555   2x2_production_polaris   analysis_v1   workdir/v3_8_analysis_v1      JOB_FINISHED   {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989556   2x2_production_polaris   analysis_v1   workdir/v3_9_analysis_v1      FAILED         {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}       
33989557   2x2_production_polaris   analysis_v1   workdir/v3_10_analysis_v1     FAILED         {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989558   2x2_production_polaris   analysis_v1   workdir/v3_11_analysis_v1     JOB_FINISHED   {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989559   2x2_production_polaris   analysis_v1   workdir/v3_12_analysis_v1     JOB_FINISHED   {'index': '12', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989560   2x2_production_polaris   analysis_v1   workdir/v3_13_analysis_v1     FAILED         {'index': '13', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989561   2x2_production_polaris   analysis_v1   workdir/v3_14_analysis_v1     JOB_FINISHED   {'index': '14', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989562   2x2_production_polaris   analysis_v1   workdir/v3_15_analysis_v1     FAILED         {'index': '15', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989563   2x2_production_polaris   analysis_v1   workdir/v3_16_analysis_v1     JOB_FINISHED   {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989564   2x2_production_polaris   analysis_v1   workdir/v3_17_analysis_v1     JOB_FINISHED   {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989565   2x2_production_polaris   analysis_v1   workdir/v3_18_analysis_v1     JOB_FINISHED   {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989566   2x2_production_polaris   analysis_v1   workdir/v3_19_analysis_v1     JOB_FINISHED   {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989567   2x2_production_polaris   analysis_v1   workdir/v3_20_analysis_v1     FAILED         {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989568   2x2_production_polaris   analysis_v1   workdir/v3_21_analysis_v1     JOB_FINISHED   {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989569   2x2_production_polaris   analysis_v1   workdir/v3_22_analysis_v1     JOB_FINISHED   {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989570   2x2_production_polaris   analysis_v1   workdir/v3_23_analysis_v1     JOB_FINISHED   {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989571   2x2_production_polaris   analysis_v1   workdir/v3_24_analysis_v1     JOB_FINISHED   {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989572   2x2_production_polaris   analysis_v1   workdir/v3_25_analysis_v1     JOB_FINISHED   {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989573   2x2_production_polaris   analysis_v1   workdir/v3_26_analysis_v1     JOB_FINISHED   {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989574   2x2_production_polaris   analysis_v1   workdir/v3_27_analysis_v1     JOB_FINISHED   {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989575   2x2_production_polaris   analysis_v1   workdir/v3_28_analysis_v1     JOB_FINISHED   {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989576   2x2_production_polaris   analysis_v1   workdir/v3_29_analysis_v1     JOB_FINISHED   {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989577   2x2_production_polaris   analysis_v1   workdir/v3_30_analysis_v1     JOB_FINISHED   {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989578   2x2_production_polaris   analysis_v1   workdir/v3_31_analysis_v1     JOB_FINISHED   {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989579   2x2_production_polaris   analysis_v1   workdir/v3_32_analysis_v1     JOB_FINISHED   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989580   2x2_production_polaris   analysis_v1   workdir/v3_33_analysis_v1     JOB_FINISHED   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989581   2x2_production_polaris   analysis_v1   workdir/v3_34_analysis_v1     JOB_FINISHED   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989582   2x2_production_polaris   analysis_v1   workdir/v3_35_analysis_v1     JOB_FINISHED   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989583   2x2_production_polaris   analysis_v1   workdir/v3_36_analysis_v1     JOB_FINISHED   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989584   2x2_production_polaris   analysis_v1   workdir/v3_37_analysis_v1     JOB_FINISHED   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989585   2x2_production_polaris   analysis_v1   workdir/v3_38_analysis_v1     JOB_FINISHED   {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
