ID         Site                     App            Workdir                        State          Tags                                                                                                                
33988404   2x2_production_polaris   inference_v1   workdir/v3_0_inference_v1      FAILED         {'index': '0', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988405   2x2_production_polaris   inference_v1   workdir/v3_1_inference_v1      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988406   2x2_production_polaris   inference_v1   workdir/v3_2_inference_v1      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988407   2x2_production_polaris   inference_v1   workdir/v3_3_inference_v1      JOB_FINISHED   {'index': '3', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988408   2x2_production_polaris   inference_v1   workdir/v3_4_inference_v1      JOB_FINISHED   {'index': '4', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988409   2x2_production_polaris   inference_v1   workdir/v3_5_inference_v1      JOB_FINISHED   {'index': '5', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988410   2x2_production_polaris   inference_v1   workdir/v3_6_inference_v1      JOB_FINISHED   {'index': '6', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988411   2x2_production_polaris   inference_v1   workdir/v3_7_inference_v1      JOB_FINISHED   {'index': '7', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988412   2x2_production_polaris   inference_v1   workdir/v3_8_inference_v1      JOB_FINISHED   {'index': '8', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988413   2x2_production_polaris   inference_v1   workdir/v3_9_inference_v1      FAILED         {'index': '9', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988414   2x2_production_polaris   inference_v1   workdir/v3_10_inference_v1     FAILED         {'index': '10', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988415   2x2_production_polaris   inference_v1   workdir/v3_11_inference_v1     JOB_FINISHED   {'index': '11', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988416   2x2_production_polaris   inference_v1   workdir/v3_12_inference_v1     JOB_FINISHED   {'index': '12', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988417   2x2_production_polaris   inference_v1   workdir/v3_13_inference_v1     FAILED         {'index': '13', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988418   2x2_production_polaris   inference_v1   workdir/v3_14_inference_v1     JOB_FINISHED   {'index': '14', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988419   2x2_production_polaris   inference_v1   workdir/v3_15_inference_v1     FAILED         {'index': '15', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988420   2x2_production_polaris   inference_v1   workdir/v3_16_inference_v1     JOB_FINISHED   {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988421   2x2_production_polaris   inference_v1   workdir/v3_17_inference_v1     JOB_FINISHED   {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988422   2x2_production_polaris   inference_v1   workdir/v3_18_inference_v1     JOB_FINISHED   {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988423   2x2_production_polaris   inference_v1   workdir/v3_19_inference_v1     JOB_FINISHED   {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988424   2x2_production_polaris   inference_v1   workdir/v3_20_inference_v1     FAILED         {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988425   2x2_production_polaris   inference_v1   workdir/v3_21_inference_v1     JOB_FINISHED   {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988426   2x2_production_polaris   inference_v1   workdir/v3_22_inference_v1     JOB_FINISHED   {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988427   2x2_production_polaris   inference_v1   workdir/v3_23_inference_v1     JOB_FINISHED   {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988428   2x2_production_polaris   inference_v1   workdir/v3_24_inference_v1     JOB_FINISHED   {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988429   2x2_production_polaris   inference_v1   workdir/v3_25_inference_v1     JOB_FINISHED   {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988430   2x2_production_polaris   inference_v1   workdir/v3_26_inference_v1     JOB_FINISHED   {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988431   2x2_production_polaris   inference_v1   workdir/v3_27_inference_v1     JOB_FINISHED   {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988432   2x2_production_polaris   inference_v1   workdir/v3_28_inference_v1     JOB_FINISHED   {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988433   2x2_production_polaris   inference_v1   workdir/v3_29_inference_v1     JOB_FINISHED   {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988434   2x2_production_polaris   inference_v1   workdir/v3_30_inference_v1     JOB_FINISHED   {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988435   2x2_production_polaris   inference_v1   workdir/v3_31_inference_v1     JOB_FINISHED   {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988436   2x2_production_polaris   inference_v1   workdir/v3_32_inference_v1     JOB_FINISHED   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988437   2x2_production_polaris   inference_v1   workdir/v3_33_inference_v1     JOB_FINISHED   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988438   2x2_production_polaris   inference_v1   workdir/v3_34_inference_v1     JOB_FINISHED   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988439   2x2_production_polaris   inference_v1   workdir/v3_35_inference_v1     JOB_FINISHED   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988440   2x2_production_polaris   inference_v1   workdir/v3_36_inference_v1     JOB_FINISHED   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988441   2x2_production_polaris   inference_v1   workdir/v3_37_inference_v1     JOB_FINISHED   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988442   2x2_production_polaris   inference_v1   workdir/v3_38_inference_v1     JOB_FINISHED   {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988443   2x2_production_polaris   inference_v1   workdir/v3_39_inference_v1     JOB_FINISHED   {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988444   2x2_production_polaris   inference_v1   workdir/v3_40_inference_v1     JOB_FINISHED   {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988445   2x2_production_polaris   inference_v1   workdir/v3_41_inference_v1     JOB_FINISHED   {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988446   2x2_production_polaris   inference_v1   workdir/v3_42_inference_v1     FAILED         {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988447   2x2_production_polaris   inference_v1   workdir/v3_43_inference_v1     JOB_FINISHED   {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988448   2x2_production_polaris   inference_v1   workdir/v3_44_inference_v1     JOB_FINISHED   {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988449   2x2_production_polaris   inference_v1   workdir/v3_45_inference_v1     JOB_FINISHED   {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988450   2x2_production_polaris   inference_v1   workdir/v3_46_inference_v1     JOB_FINISHED   {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988451   2x2_production_polaris   inference_v1   workdir/v3_47_inference_v1     JOB_FINISHED   {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988452   2x2_production_polaris   inference_v1   workdir/v3_48_inference_v1     JOB_FINISHED   {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988453   2x2_production_polaris   inference_v1   workdir/v3_49_inference_v1     JOB_FINISHED   {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988454   2x2_production_polaris   inference_v1   workdir/v3_50_inference_v1     JOB_FINISHED   {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988455   2x2_production_polaris   inference_v1   workdir/v3_51_inference_v1     JOB_FINISHED   {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988456   2x2_production_polaris   inference_v1   workdir/v3_52_inference_v1     JOB_FINISHED   {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988457   2x2_production_polaris   inference_v1   workdir/v3_53_inference_v1     JOB_FINISHED   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988458   2x2_production_polaris   inference_v1   workdir/v3_54_inference_v1     JOB_FINISHED   {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988459   2x2_production_polaris   inference_v1   workdir/v3_55_inference_v1     JOB_FINISHED   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988460   2x2_production_polaris   inference_v1   workdir/v3_56_inference_v1     JOB_FINISHED   {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988461   2x2_production_polaris   inference_v1   workdir/v3_57_inference_v1     JOB_FINISHED   {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988462   2x2_production_polaris   inference_v1   workdir/v3_58_inference_v1     JOB_FINISHED   {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988463   2x2_production_polaris   inference_v1   workdir/v3_59_inference_v1     FAILED         {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988464   2x2_production_polaris   inference_v1   workdir/v3_60_inference_v1     JOB_FINISHED   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988465   2x2_production_polaris   inference_v1   workdir/v3_61_inference_v1     JOB_FINISHED   {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988466   2x2_production_polaris   inference_v1   workdir/v3_62_inference_v1     JOB_FINISHED   {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988467   2x2_production_polaris   inference_v1   workdir/v3_63_inference_v1     JOB_FINISHED   {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988468   2x2_production_polaris   inference_v1   workdir/v3_64_inference_v1     JOB_FINISHED   {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988469   2x2_production_polaris   inference_v1   workdir/v3_65_inference_v1     JOB_FINISHED   {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988470   2x2_production_polaris   inference_v1   workdir/v3_66_inference_v1     JOB_FINISHED   {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988471   2x2_production_polaris   inference_v1   workdir/v3_67_inference_v1     JOB_FINISHED   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988472   2x2_production_polaris   inference_v1   workdir/v3_68_inference_v1     JOB_FINISHED   {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988473   2x2_production_polaris   inference_v1   workdir/v3_69_inference_v1     JOB_FINISHED   {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988474   2x2_production_polaris   inference_v1   workdir/v3_70_inference_v1     JOB_FINISHED   {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988475   2x2_production_polaris   inference_v1   workdir/v3_71_inference_v1     JOB_FINISHED   {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988476   2x2_production_polaris   inference_v1   workdir/v3_72_inference_v1     JOB_FINISHED   {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988477   2x2_production_polaris   inference_v1   workdir/v3_73_inference_v1     JOB_FINISHED   {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
