ID         Site                     App    Workdir            State              Tags                                                                         
33962000   2x2_production_polaris   plot   workdir/16_plot    JOB_FINISHED       {'index': '16', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962001   2x2_production_polaris   plot   workdir/17_plot    AWAITING_PARENTS   {'index': '17', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962002   2x2_production_polaris   plot   workdir/18_plot    AWAITING_PARENTS   {'index': '18', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962003   2x2_production_polaris   plot   workdir/19_plot    RESTART_READY      {'index': '19', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962004   2x2_production_polaris   plot   workdir/20_plot    AWAITING_PARENTS   {'index': '20', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962005   2x2_production_polaris   plot   workdir/21_plot    RESTART_READY      {'index': '21', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962006   2x2_production_polaris   plot   workdir/22_plot    AWAITING_PARENTS   {'index': '22', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962007   2x2_production_polaris   plot   workdir/23_plot    RESTART_READY      {'index': '23', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962008   2x2_production_polaris   plot   workdir/24_plot    RESTART_READY      {'index': '24', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962009   2x2_production_polaris   plot   workdir/25_plot    AWAITING_PARENTS   {'index': '25', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962010   2x2_production_polaris   plot   workdir/26_plot    RESTART_READY      {'index': '26', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962011   2x2_production_polaris   plot   workdir/27_plot    AWAITING_PARENTS   {'index': '27', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962012   2x2_production_polaris   plot   workdir/28_plot    AWAITING_PARENTS   {'index': '28', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962013   2x2_production_polaris   plot   workdir/29_plot    RESTART_READY      {'index': '29', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962014   2x2_production_polaris   plot   workdir/30_plot    AWAITING_PARENTS   {'index': '30', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962015   2x2_production_polaris   plot   workdir/31_plot    AWAITING_PARENTS   {'index': '31', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962016   2x2_production_polaris   plot   workdir/32_plot    AWAITING_PARENTS   {'index': '32', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962017   2x2_production_polaris   plot   workdir/33_plot    AWAITING_PARENTS   {'index': '33', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962018   2x2_production_polaris   plot   workdir/34_plot    AWAITING_PARENTS   {'index': '34', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962019   2x2_production_polaris   plot   workdir/35_plot    AWAITING_PARENTS   {'index': '35', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962020   2x2_production_polaris   plot   workdir/36_plot    AWAITING_PARENTS   {'index': '36', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962021   2x2_production_polaris   plot   workdir/37_plot    AWAITING_PARENTS   {'index': '37', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962022   2x2_production_polaris   plot   workdir/38_plot    RESTART_READY      {'index': '38', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962023   2x2_production_polaris   plot   workdir/39_plot    RESTART_READY      {'index': '39', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962024   2x2_production_polaris   plot   workdir/40_plot    RESTART_READY      {'index': '40', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962025   2x2_production_polaris   plot   workdir/41_plot    RESTART_READY      {'index': '41', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962026   2x2_production_polaris   plot   workdir/42_plot    AWAITING_PARENTS   {'index': '42', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962027   2x2_production_polaris   plot   workdir/43_plot    RESTART_READY      {'index': '43', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962028   2x2_production_polaris   plot   workdir/44_plot    RESTART_READY      {'index': '44', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962029   2x2_production_polaris   plot   workdir/45_plot    RESTART_READY      {'index': '45', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962030   2x2_production_polaris   plot   workdir/46_plot    AWAITING_PARENTS   {'index': '46', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962031   2x2_production_polaris   plot   workdir/47_plot    AWAITING_PARENTS   {'index': '47', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962032   2x2_production_polaris   plot   workdir/48_plot    AWAITING_PARENTS   {'index': '48', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962033   2x2_production_polaris   plot   workdir/49_plot    RESTART_READY      {'index': '49', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962034   2x2_production_polaris   plot   workdir/50_plot    AWAITING_PARENTS   {'index': '50', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962035   2x2_production_polaris   plot   workdir/51_plot    AWAITING_PARENTS   {'index': '51', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962036   2x2_production_polaris   plot   workdir/52_plot    RESTART_READY      {'index': '52', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962037   2x2_production_polaris   plot   workdir/53_plot    AWAITING_PARENTS   {'index': '53', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962038   2x2_production_polaris   plot   workdir/54_plot    RESTART_READY      {'index': '54', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962039   2x2_production_polaris   plot   workdir/55_plot    AWAITING_PARENTS   {'index': '55', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962040   2x2_production_polaris   plot   workdir/56_plot    RESTART_READY      {'index': '56', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962041   2x2_production_polaris   plot   workdir/57_plot    RESTART_READY      {'index': '57', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
33962042   2x2_production_polaris   plot   workdir/58_plot    RESTART_READY      {'index': '58', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_plot_v0'}   
